Tissue
YHJ_N,Normal
ZXZ_N,Normal
YHJ_T,Tumor
ZXZ_T,Tumor
CBJQ_T,Tumor
WSY_N,Normal
LJG_N,Normal
CDMQ_T,Tumor
LJGQ_T,Tumor
LRM_T,Tumor
WY_N,Normal
ZLTQ_T,Tumor
ZLT_N,Normal
WY_T,Tumor
LRM_N,Normal
WGMQ_T,Tumor
PXL_N,Normal
WQQ_N,Normal
WL_N,Normal
PCS_N,Normal
ZTS_T,Tumor
WSYQ_T,Tumor
CBJ_N,Normal
PCS_T,Tumor
ZTS_N,Normal
PXL_T,Tumor
WQQ_T,Tumor
WL_T,Tumor
ZZK_N,Normal
ZSQ_N,Normal
ZSQ_T,Tumor
ZZK_T,Tumor
WGYQ_T,Tumor
YCJQ_T,Tumor
CDMQ_N,Normal
HQCQ_T,Tumor
HQCQ_N,Normal
MYZQ_T,Tumor
MYZQ_N,Normal
WFLQ_N,Normal
WFLQ_T,Tumor
WGMQ_N,Normal
WGYQ_N,Normal
WHFQ_T,Tumor
WHFQ_N,Normal
WJCQ_T,Tumor
WJCQ_N,Normal
WJYQ_T,Tumor
WJYQ_N,Normal
YCJQ_N,Normal
ZLKQ_T,Tumor
ZLKQ_N,Normal
ZZMQ_T,Tumor
ZZMQ_N,Normal

